Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 144 took 74.6306319237, cost = 0.0410481896251, error = 0.197559900044
Epoch 145 took 74.7015719414, cost = 0.0411535967141, error = 0.197780391004
Epoch 146 took 74.6633520126, cost = 0.0411233697087, error = 0.19851536087
Epoch 147 took 74.8085548878, cost = 0.0424390714616, error = 0.202116713215
Epoch 148 took 74.807861805, cost = 0.0417902506888, error = 0.199544318683
Epoch 149 took 74.8643810749, cost = 0.0405719261616, error = 0.196824930178
Epoch 150 took 74.8139920235, cost = 0.0424875263125, error = 0.200132294576
Epoch 151 took 74.8264548779, cost = 0.0412707850337, error = 0.199911803616
Epoch 152 took 74.7836048603, cost = 0.0414188485593, error = 0.197045421138
Epoch 153 took 74.8511550426, cost = 0.0404082033783, error = 0.195207996472
Epoch 154 took 74.8206198215, cost = 0.0411016847938, error = 0.196016463325
Epoch 155 took 74.8199858665, cost = 0.0438242461532, error = 0.201602234308
Epoch 156 took 74.8045709133, cost = 0.0423059966415, error = 0.204468616787
Epoch 157 took 74.8200309277, cost = 0.0441959388554, error = 0.208143466118
Epoch 158 took 74.8128871918, cost = 0.0424472969025, error = 0.203072174041
Epoch 159 took 74.8594899178, cost = 0.0454181823879, error = 0.208290460091
Epoch 160 took 74.8093590736, cost = 0.042244175449, error = 0.207775981185
Epoch 161 took 74.7775790691, cost = 0.0422978103161, error = 0.200352785536
Epoch 162 took 74.6359109879, cost = 0.0399284530431, error = 0.194473026606
Epoch 163 took 74.6628861427, cost = 0.0398121736944, error = 0.192194620021
Epoch 164 took 74.6254758835, cost = 0.0412697866559, error = 0.196089960312
Epoch 165 took 74.6547949314, cost = 0.0413291174918, error = 0.19329707482
Epoch 166 took 74.6457009315, cost = 0.041971700266, error = 0.194546523593
Epoch 167 took 74.8185529709, cost = 0.0414293222129, error = 0.194914008526
Epoch 168 took 74.8010029793, cost = 0.0419878605753, error = 0.192194620021
Epoch 169 took 74.8192589283, cost = 0.0419860351831, error = 0.195795972365
Epoch 170 took 74.8075799942, cost = 0.0414835102856, error = 0.192782595914
Epoch 171 took 74.8253378868, cost = 0.0402785483748, error = 0.191386153168
Epoch 172 took 74.8048129082, cost = 0.0399384181947, error = 0.189254740556
Epoch 173 took 74.7721920013, cost = 0.040922196582, error = 0.191606644128
